Summary_file = soilp.sum
Title = soilp Sample Simulation
       day      year        labile_p(1)        labile_p(2)        labile_p(3)        labile_p(4)        labile_p(5)        labile_p(6)        labile_p(7)       unavail_p(1)       unavail_p(2)       unavail_p(3)       unavail_p(4)       unavail_p(5)       unavail_p(6)       unavail_p(7)          rock_p(1)          rock_p(2)          rock_p(3)          rock_p(4)          rock_p(5)          rock_p(6)          rock_p(7)        banded_p(1)        banded_p(2)        banded_p(3)        banded_p(4)        banded_p(5)        banded_p(6)        banded_p(7)       biom_p()        hum_p()        fom_p()
        10      1988             30.988              1.983              3.941              3.929              4.034              4.061              4.069             97.583             19.500             38.700             39.300             40.500             40.800             40.800             23.912              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.904       1492.664          1.252
        11      1988             31.004              1.995              3.954              3.931              4.034              4.060              4.069             97.622             19.500             38.700             39.300             40.500             40.800             40.800             23.897              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.931       1492.627          1.196
        12      1988             31.020              2.008              3.967              3.934              4.034              4.059              4.068             97.662             19.500             38.701             39.300             40.500             40.800             40.800             23.883              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.952       1492.590          1.143
        13      1988             31.039              2.022              3.981              3.938              4.034              4.058              4.068             97.702             19.500             38.701             39.300             40.500             40.800             40.800             23.868              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.965       1492.552          1.095
        14      1988             31.059              2.037              3.994              3.941              4.034              4.057              4.067             97.739             19.500             38.701             39.300             40.500             40.800             40.800             23.854              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.973       1492.516          1.050
        15      1988             31.169              2.051              4.008              3.944              4.034              4.056              4.067             97.805             19.500             38.701             39.300             40.500             40.800             40.800             23.839              0.000              0.000              0.000              0.000              0.000              0.000             19.880              0.000              0.000              0.000              0.000              0.000              0.000         23.976       1492.480          1.011
        16      1988             31.280              2.065              4.021              3.948              4.035              4.055              4.066             97.864             19.501             38.701             39.300             40.500             40.800             40.800             23.825              0.000              0.000              0.000              0.000              0.000              0.000             19.764              0.000              0.000              0.000              0.000              0.000              0.000         23.975       1492.447          0.976
        17      1988             31.390              2.080              4.035              3.952              4.035              4.055              4.066             97.927             19.501             38.701             39.300             40.500             40.800             40.800             23.810              0.000              0.000              0.000              0.000              0.000              0.000             19.647              0.000              0.000              0.000              0.000              0.000              0.000         23.970       1492.413          0.941
        18      1988             31.498              2.096              4.050              3.956              4.036              4.054              4.065             98.000             19.501             38.702             39.300             40.500             40.800             40.800             23.795              0.000              0.000              0.000              0.000              0.000              0.000             19.525              0.000              0.000              0.000              0.000              0.000              0.000         23.962       1492.375          0.906
        19      1988             31.606              2.114              4.066              3.960              4.037              4.053              4.065             98.078             19.501             38.702             39.300             40.500             40.800             40.800             23.781              0.000              0.000              0.000              0.000              0.000              0.000             19.403              0.000              0.000              0.000              0.000              0.000              0.000         23.949       1492.336          0.871
        20      1988             50.987              2.125              4.082              3.965              4.038              4.053              4.065             98.160             19.502             38.702             39.300             40.500             40.800             40.800             23.766              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.936       1492.300          0.842
        21      1988             50.958              2.140              4.100              3.971              4.039              4.052              4.064             98.257             19.502             38.703             39.300             40.500             40.800             40.800             23.752              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.916       1492.259          0.810
        22      1988             50.931              2.156              4.118              3.976              4.040              4.052              4.064             98.353             19.502             38.703             39.300             40.500             40.800             40.800             23.737              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.894       1492.216          0.779
        23      1988             50.912              2.174              4.136              3.982              4.041              4.051              4.064             98.439             19.503             38.703             39.300             40.500             40.800             40.800             23.723              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.869       1492.175          0.750
        24      1988             50.892              2.194              4.154              3.987              4.043              4.051              4.064             98.527             19.503             38.704             39.300             40.500             40.800             40.800             23.708              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.841       1492.133          0.721
        25      1988             50.873              2.214              4.172              3.993              4.044              4.051              4.064             98.614             19.504             38.704             39.300             40.500             40.799             40.800             23.694              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.810       1492.090          0.694
        26      1988             50.860              2.234              4.190              3.999              4.046              4.050              4.063             98.693             19.504             38.705             39.301             40.500             40.799             40.800             23.679              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.779       1492.050          0.670
        27      1988             50.850              2.253              4.206              4.004              4.047              4.050              4.063             98.765             19.505             38.705             39.301             40.500             40.799             40.800             23.665              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.748       1492.011          0.647
        28      1988             50.844              2.272              4.223              4.009              4.049              4.050              4.063             98.835             19.505             38.706             39.301             40.500             40.799             40.800             23.650              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.716       1491.973          0.626
        29      1988             50.841              2.290              4.239              4.015              4.050              4.050              4.063             98.896             19.506             38.706             39.301             40.500             40.799             40.800             23.636              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.685       1491.937          0.608
        30      1988             50.840              2.307              4.254              4.020              4.051              4.050              4.063             98.955             19.506             38.707             39.301             40.500             40.799             40.800             23.621              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000         23.654       1491.902          0.590
