Summary_file = csu-N09.sum
Title = south plots
      year     month       day day_month         period          sw_dep(1)          sw_dep(2)          sw_dep(3)          sw_dep(4)          sw_dep(5)          sw_dep(6)          sw_dep(7)          sw_dep(8)          sw_dep(9)         sw_dep(10)         sw_dep(11)         sw_dep(12)         sw_dep(13)         sw_dep(14)         sw_dep(15)         sw_dep(16)         sw_dep(17)         sw_dep(18)         sw_dep(19)         sw_dep(20)             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)            no3(10)            no3(11)            no3(12)            no3(13)            no3(14)            no3(15)            no3(16)            no3(17)            no3(18)            no3(19)            no3(20)             nh4(1)             nh4(2)             nh4(3)             nh4(4)             nh4(5)             nh4(6)             nh4(7)             nh4(8)             nh4(9)            nh4(10)            nh4(11)            nh4(12)            nh4(13)            nh4(14)            nh4(15)            nh4(16)            nh4(17)            nh4(18)            nh4(19)            nh4(20)        no3_025       no3_2590        nh4_025       nh4_2590     sw_dep_025    sw_dep_2590   sw_dep_90180        no3_030       no3_3080        nh4_030       nh4_3080     sw_dep_030    sw_dep_3080           rain           W_ep           L_ep           C_ep          swdep             es         runoff          drain             eo              h       drain_25       drain_90       leach_25       leach_90       cum_rain         cum_ET      cum_drain          cum_E          cum_T          no3()          nh4()      nit_tot()      leach_no3         urea()       biom_n()        fom_n()        hum_n() sum@soiln2.dnit[] sum@soiln2.dlt_n_min[]      residue_n     residue_wt  residue_cover  L_dlt_n_fixed  C_dlt_n_fixed       W_plantn        W_topsn    L_biomass_n     L_n_uptake    C_biomass_n     C_n_uptake    cum_nmin010   cum_nmin1020   cum_nmin2030        no3_010        nh4_010      fom_n_010     biom_n_010      hum_n_010     no3_sol_20     no3_sol_30     no3_sol_50     no3_sol_90       drain180
    (year)   (month)     (day)     (day)             ()               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()             ()            (?)            (?)            (?)            (?)           (mm)            (?)            (?)            (?)            (?)           (mm)             ()             ()             ()             ()             ()             ()             ()             ()             ()        (kg/ha)        (kg/ha)        (kg/ha)            (?)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)               (?)                    (?)        (kg/ha)        (kg/ha)      (m^2/m^2)            (?)            (?)        (kg/ha)         (g/m2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)             ()             ()             ()             ()             ()             ()             ()             ()         (ug/g)         (ug/g)         (ug/g)         (ug/g)             ()
      1993         4       120        30          1.000              1.267              5.399             17.000             21.518             22.068             24.967             39.544             57.000             60.793             62.772             61.572             66.017             66.243             63.863             66.546             64.120             65.426             66.730             50.072             16.692              7.360              6.788             18.458             11.479              8.220              6.069              6.627              5.689              3.480              3.579              2.271              1.998              1.970              2.051              1.998              2.060              2.021              1.945              1.441              0.480              0.352              0.407              2.208              0.403              0.186              0.087              0.075              0.051              0.020              0.010              0.003              0.003              0.003              0.003              0.003              0.003              0.003              0.003              0.002              0.001         44.085         28.345          3.370          0.409         45.184        173.975        287.000         48.195         22.495          3.463          0.306         56.218        132.545              ?              ?              ?              ?        899.609              ?              ?              ?              ?          0.000          0.000         -0.213          0.257         -0.019          0.000          6.019          0.922          5.975          0.044         95.984          3.828       6444.631              ?          0.000        142.454          8.453       6193.913                 ?                      ?          1.510        238.152          0.047              ?              ?          0.000          0.000          0.000          0.000          0.000          0.000         26.024          8.833          6.156         20.301          1.495          6.756         98.795       1301.054         53.347         37.250         16.759          5.725          0.233
      1993         5       121         1          1.000              1.267              5.326             16.986             21.519             22.069             24.969             39.546             57.001             60.793             62.770             61.569             66.013             66.239             63.858             66.542             64.116             65.422             66.727             50.070             16.691              7.426              6.737             18.654             11.588              8.262              6.098              6.658              5.709              3.491              3.581              2.273              2.000              1.971              2.052              1.999              2.060              2.022              1.946              1.442              0.480              0.354              0.412              2.184              0.398              0.183              0.086              0.074              0.051              0.020              0.010              0.003              0.003              0.003              0.003              0.003              0.003              0.003              0.003              0.002              0.001         44.405         28.472          3.348          0.404         45.098        173.982        286.987         48.536         22.596          3.440          0.303         56.132        132.551              ?              ?              ?              ?        899.494              ?              ?              ?              ?          0.000          0.000         -0.219          0.270         -0.019          0.400          6.505          0.951          6.461          0.044         96.448          3.802       6444.631              ?          0.000        142.227          8.414       6193.739                 ?                      ?          1.510        238.152          0.047              ?              ?          0.000          0.000          0.000          0.000          0.000          0.000          0.095          0.108          0.053         20.381          1.494          6.741         98.740       1301.029         53.850         37.437         16.835          5.742          0.240
      1993         5       136        16          1.000              1.427              9.967             16.960             21.534             22.083             24.987             39.579             57.020             60.791             62.737             61.523             65.962             66.184             63.797             66.488             64.058             65.370             66.678             50.034             16.679              5.430              9.645             21.141             13.137              8.852              6.493              7.081              5.998              3.643              3.607              2.304              2.022              1.990              2.062              2.019              2.072              2.036              1.962              1.453              0.484              0.305              0.679              1.853              0.328              0.152              0.073              0.070              0.052              0.021              0.010              0.003              0.003              0.003              0.003              0.003              0.004              0.003              0.003              0.002              0.001         49.353         30.246          3.165          0.357         49.888        174.064        286.801         53.779         23.998          3.241          0.271         60.930        132.628              ?              ?              ?              ?        903.858              ?              ?              ?              ?          0.000          0.000         -0.305          0.486         -0.019         13.200         14.520          1.373         14.476          0.044        103.429          3.573       6444.651              ?          0.000        138.778          7.701       6191.170                 ?                      ?          1.478        232.994          0.046              ?              ?          0.000          0.000          0.000          0.000          0.000          0.000          2.168          1.584          0.783         22.122          1.602          6.291         97.646       1300.559         61.004         40.086         17.890          5.993          0.340
      1993         5       144        24          1.000              1.292              8.095             16.839             21.541             22.091             24.997             39.593             57.028             60.790             62.721             61.501             65.937             66.157             63.767             66.460             64.028             65.342             66.653             50.016             16.673              6.990              9.669             21.833             13.855              9.123              6.666              7.263              6.123              3.713              3.618              2.319              2.033              1.998              2.066              2.028              2.077              2.043              1.970              1.458              0.485              0.317              0.591              1.573              0.273              0.127              0.067              0.071              0.054              0.021              0.010              0.003              0.003              0.003              0.004              0.003              0.004              0.003              0.003              0.002              0.001         52.347         31.031          2.754          0.330         47.767        174.104        286.711         56.909         24.614          2.817          0.256         58.812        132.663              ?              ?              ?              ?        901.520              ?              ?              ?              ?          0.000          0.000         -0.345          0.623         -0.019         13.200         16.643          1.589         16.599          0.044        107.332          3.136       6444.656              ?          0.000        136.967          7.260       6189.961                 ?                      ?          1.466        231.081          0.045              ?              ?          0.000          0.000          0.000          0.000          0.000          0.000          3.726          2.174          1.076         23.937          1.432          5.938         96.781       1300.244         64.320         41.297         18.345          6.108          0.388
      1993         5       145        25          2.000              1.286              7.932             16.833             21.542             22.092             24.999             39.595             57.029             60.790             62.719             61.498             65.934             66.154             63.763             66.456             64.024             65.339             66.650             50.014             16.672              7.115              9.703             21.934             13.941              9.156              6.688              7.287              6.139              3.722              3.620              2.321              2.034              1.999              2.067              2.029              2.077              2.044              1.971              1.459              0.486              0.319              0.568              1.554              0.270              0.126              0.067              0.071              0.054              0.021              0.010              0.003              0.003              0.003              0.004              0.003              0.004              0.003              0.003              0.002              0.001         52.693         31.131          2.711          0.329         47.593        174.110        286.700         57.271         24.692          2.774          0.255         58.639        132.669              ?              ?              ?              ?        901.319              ?              ?              ?              ?          0.000          0.000         -0.005          0.018          0.000          0.000          0.175          0.026          0.175          0.000        107.793          3.091       6444.655              ?          0.000        136.746          7.215       6189.811                 ?                      ?          1.466        231.081          0.045              ?              ?          0.000          0.000          0.000          0.000          0.000          0.000          3.895          2.249          1.113         24.129          1.405          5.904         96.681       1300.208         64.718         41.445         18.403          6.123          0.006
      1993         6       157         6          2.000              6.986             14.086             19.009             26.939             26.855             29.632             41.199             57.114             60.790             62.698             61.467             65.900             66.116             63.720             66.417             63.981             65.299             66.613             49.986             16.663              3.306              7.513             15.970             21.625             14.808              9.666              8.020              6.317              3.819              3.633              2.342              2.050              2.011              2.073              2.042              2.084              2.054              1.982              1.466              0.488              0.995             15.566              1.120              0.341              0.128              0.071              0.075              0.056              0.022              0.011              0.004              0.003              0.003              0.004              0.003              0.004              0.004              0.003              0.003              0.001         48.414         40.721         18.022          0.341         67.020        185.195        286.576         55.818         31.407         18.086          0.266         80.448        141.372              ?              ?              ?              ?        931.467              ?              ?              ?              ?          0.000         11.030         -0.063          8.903          0.000         41.000         10.717          0.335         10.717          0.000        113.271         18.416       6461.162              ?          0.000        134.477          6.719       6188.280                 ?                      ?          1.431        225.613          0.044              ?              ?          0.000          0.000          0.000          0.000          0.000          0.000          5.883          2.964          1.465         16.142         16.934          5.501         95.551       1299.819         80.273         55.142         19.467          6.282          0.078
      1993         6       172        21          2.000              1.287              7.905             17.830             25.414             25.563             28.260             42.422             58.538             61.204             62.724             61.438             65.860             66.071             63.669             66.370             63.929             65.251             66.568             49.953             16.652             10.635             14.002             16.656             20.619             14.490              9.876              8.985              6.775              3.967              3.648              2.367              2.067              2.025              2.078              2.057              2.092              2.064              1.995              1.475              0.491              2.167              2.903              1.077              0.225              0.112              0.068              0.075              0.057              0.022              0.011              0.004              0.003              0.003              0.004              0.003              0.004              0.004              0.003              0.003              0.001         61.912         42.110          6.372          0.323         52.436        185.385        286.695         69.157         32.881          6.428          0.256         65.217        142.001              ?              ?              ?              ?        916.907              ?              ?              ?              ?          0.000         11.421         -0.070          9.598          0.005         41.000         24.909          0.703         24.733          0.176        128.364          6.748       6460.086              ?          0.000        132.025          6.254       6186.696                 ?                      ?          1.419        223.766          0.044              ?              ?          2.250          0.170          0.000          0.000          0.000          0.000          8.122          3.648          1.804         30.189          5.429          5.114         94.191       1299.373         81.132         56.682         21.180          6.481          0.157
      1993         7       187         6          2.000              1.275              5.861             16.584             24.333             25.088             27.760             42.053             59.076             61.701             62.951             61.462             65.837             66.033             63.622             66.326             63.881             65.205             66.525             49.920             16.641             13.763             12.585             17.650             18.855             14.203             10.082              9.410              7.130              4.137              3.681              2.394              2.085              2.038              2.085              2.072              2.100              2.075              2.008              1.484              0.494              1.692              0.644              0.984              0.203              0.109              0.067              0.074              0.056              0.022              0.011              0.004              0.003              0.003              0.004              0.003              0.004              0.004              0.003              0.003              0.001         62.853         42.894          3.523          0.317         48.053        184.827        287.133         69.954         33.723          3.578          0.252         60.597        141.433              ?              ?              ?              ?        912.132              ?              ?              ?              ?          0.000         11.394          0.198          9.944          0.030         41.000         29.337          1.052         26.841          2.496        130.329          3.892       6455.559              ?          0.000        130.103          6.070       6185.165                 ?                      ?          1.419        223.766          0.044              ?              ?          9.161          0.806          0.000          0.000          0.000          0.000          9.323          4.395          2.174         32.231          2.664          5.004         93.437       1299.078         77.484         56.613         22.377          6.706          0.232
      1993         7       202        21          2.000              2.985              9.940             17.060             25.128             25.676             29.007             44.403             63.933             64.778             66.696             65.118             69.457             69.515             66.910             68.008             64.074             65.174             66.484             49.889             16.631              2.945              3.883              8.412             14.109             12.999             11.437             14.194             12.051              6.212              4.304              2.837              2.294              2.146              2.178              2.138              2.114              2.085              2.020              1.492              0.497              0.406              0.888              0.942              0.298              0.130              0.070              0.074              0.050              0.019              0.009              0.003              0.003              0.003              0.003              0.003              0.004              0.004              0.003              0.003              0.001         29.349         53.787          2.534          0.333         55.113        195.408        303.175         35.848         44.181          2.599          0.259         67.951        150.181              ?              ?              ?              ?        950.866              ?              ?              ?              ?          0.000         44.448         20.082         35.951          1.726        104.200         53.471          1.383         43.506          9.965        110.344          2.916       6429.953              ?          0.000        127.456          5.727       6183.509                 ?                      ?          1.354        213.455          0.042              ?              ?         37.017          3.205          0.000          0.000          0.000          0.000         12.041          5.093          2.510          9.632          1.608          4.682         91.827       1298.558         56.147         50.626         31.966          9.589          5.613
      1993         8       217         5          2.000              3.718              8.652             15.413             20.218             20.587             23.826             42.161             61.019             63.198             65.281             64.078             68.453             68.640             66.440             68.815             66.488             67.316             67.756             50.232             16.707              0.745              2.102              2.073              2.323              1.620              0.744              0.341              0.858              6.167              4.265              2.832              2.272              2.089              2.107              2.129              2.158              2.150              2.069              1.511              0.502              0.357              0.778              0.852              0.192              0.107              0.067              0.074              0.053              0.020              0.010              0.003              0.003              0.003              0.003              0.003              0.003              0.003              0.003              0.003              0.001          7.243          6.647          2.179          0.311         48.001        179.192        298.051          8.053          2.753          2.233          0.248         58.295        137.299              ?              ?              ?              ?        928.999              ?              ?              ?              ?          0.000         44.383         22.672         36.005          1.994        122.600         93.398          1.718         53.617         39.781         41.056          2.538       6356.324              ?          0.000        124.872          6.029       6181.829                 ?                      ?          1.275        200.961          0.039              ?              ?        120.078         10.255          0.000          0.000          0.000          0.000         14.769          5.782          2.850          3.538          1.419          4.785         90.223       1298.021         11.490          7.869          0.810          9.758         12.537
