Summary_file = step3.sum
Title = Step 3. swim
           date       sw_dep()  transpiration
     04/08/1976        484.996          0.000
     05/08/1976        484.995          0.000
     06/08/1976        484.994          0.000
     07/08/1976        484.993          0.000
     08/08/1976        484.992          0.000
     09/08/1976        484.992          0.000
     10/08/1976        484.991          0.000
     11/08/1976        484.990          0.000
     12/08/1976        484.989          0.000
     13/08/1976        484.989          0.000
     14/08/1976        484.988          0.000
     15/08/1976        484.987          0.000
     16/08/1976        484.986          0.000
     17/08/1976        484.985          0.000
     18/08/1976        484.985          0.000
     19/08/1976        484.984          0.000
     20/08/1976        484.983          0.000
     21/08/1976        484.982          0.000
     22/08/1976        484.982          0.000
     23/08/1976        484.981          0.000
     24/08/1976        484.980          0.000
     25/08/1976        484.979          0.000
     26/08/1976        494.801          0.000
     27/08/1976        494.556          0.408
     28/08/1976        492.406          0.201
     29/08/1976        491.140          0.399
     30/08/1976        490.447          0.513
     31/08/1976        489.906          0.457
     01/09/1976        491.569          0.403
     02/09/1976        493.283          0.611
     03/09/1976        491.981          0.246
     04/09/1976        491.131          0.219
     05/09/1976        490.336          0.637
     06/09/1976        489.675          0.604
     07/09/1976        489.083          0.557
     08/09/1976        488.635          0.423
     09/09/1976        488.496          0.117
     10/09/1976        488.446          0.029
     11/09/1976        488.417          0.009
     12/09/1976        488.396          0.002
     13/09/1976        488.378          0.000
     14/09/1976        488.360          0.000
     15/09/1976        488.343          0.000
     16/09/1976        488.327          0.000
     17/09/1976        498.323          0.210
     18/09/1976        508.035          0.613
     19/09/1976        505.722          0.313
     20/09/1976        502.632          0.387
     21/09/1976        501.195          0.604
     22/09/1976        500.198          0.573
     23/09/1976        499.456          0.431
     24/09/1976        498.881          0.336
     25/09/1976        498.150          0.566
     26/09/1976        497.440          0.580
     27/09/1976        498.376          0.540
     28/09/1976        497.360          0.257
     29/09/1976        496.899          0.230
     30/09/1976        496.233          0.579
     01/10/1976        495.576          0.605
     02/10/1976        494.808          0.731
     03/10/1976        494.026          0.754
     04/10/1976        493.313          0.690
     05/10/1976        493.078          0.214
     06/10/1976        497.689          0.084
     07/10/1976        495.083          0.855
     08/10/1976        494.072          0.766
     09/10/1976        493.361          0.671
     10/10/1976        493.090          0.246
     11/10/1976        493.003          0.066
     12/10/1976        492.971          0.011
     13/10/1976        502.147          0.487
     14/10/1976        500.628          0.711
     15/10/1976        498.239          0.444
     16/10/1976        496.972          0.655
     17/10/1976        496.170          0.609
     18/10/1976        495.420          0.632
     19/10/1976        494.697          0.654
     20/10/1976        494.286          0.357
     21/10/1976        493.540          0.715
     22/10/1976        495.503          0.445
     23/10/1976        497.368          0.790
     24/10/1976        495.251          0.410
     25/10/1976        494.188          0.832
     26/10/1976        500.414          0.745
     27/10/1976        498.336          0.799
     28/10/1976        496.761          0.326
     29/10/1976        496.064          0.383
     30/10/1976        495.169          0.720
     31/10/1976        506.730          0.675
     01/11/1976        508.159          0.654
     02/11/1976        504.580          0.444
     03/11/1976        502.798          1.014
     04/11/1976        501.489          0.841
     05/11/1976        500.383          0.849
     06/11/1976        499.538          0.654
     07/11/1976        498.429          0.972
     08/11/1976        497.434          0.922
     09/11/1976        503.377          1.016
     10/11/1976        504.365          1.030
     11/11/1976        504.148          0.457
     12/11/1976        501.812          0.478
     13/11/1976        500.426          0.897
     14/11/1976        507.714          1.007
     15/11/1976        509.263          0.477
     16/11/1976        506.546          0.449
     17/11/1976        504.470          0.443
     18/11/1976        503.079          0.794
     19/11/1976        501.993          0.777
     20/11/1976        506.585          0.675
     21/11/1976        509.017          0.427
     22/11/1976        506.335          0.433
     23/11/1976        504.434          0.442
     24/11/1976        503.205          0.689
     25/11/1976        502.146          0.751
     26/11/1976        501.114          0.836
     27/11/1976        500.885          0.483
     28/11/1976        500.251          0.457
     29/11/1976        500.142          0.836
     30/11/1976        502.960          0.479
     01/12/1976        500.481          1.045
     02/12/1976        499.700          0.478
     03/12/1976        498.813          0.781
     04/12/1976        497.874          1.023
     05/12/1976        496.546          1.136
     06/12/1976        496.009          0.485
     07/12/1976        495.237          0.736
     08/12/1976        494.451          0.756
     09/12/1976        493.621          0.808
     10/12/1976        493.350          0.249
     11/12/1976        493.248          0.082
     12/12/1976        494.092          0.096
     13/12/1976        493.277          0.034
     14/12/1976        493.212          0.004
     15/12/1976        493.190          0.001
     16/12/1976        493.171          0.000
     17/12/1976        493.153          0.000
     18/12/1976        493.136          0.000
     19/12/1976        493.119          0.000
     20/12/1976        493.103          0.000
     21/12/1976        493.087          0.000
     22/12/1976        493.072          0.000
     23/12/1976        494.347          0.764
     24/12/1976        501.943          0.443
     25/12/1976        498.078          0.476
     26/12/1976        498.604          0.986
     27/12/1976        496.578          0.502
     28/12/1976        495.578          0.871
     29/12/1976        494.493          1.030
     30/12/1976        499.247          1.097
     31/12/1976        496.354          1.078
     01/01/1977        495.386          0.499
     02/01/1977        494.147          1.181
     03/01/1977        493.511          0.608
     04/01/1977        495.460          0.715
     05/01/1977        494.180          0.942
     06/01/1977        493.676          0.446
     07/01/1977        493.370          0.279
     08/01/1977        493.275          0.073
     09/01/1977        493.242          0.012
     10/01/1977        493.218          0.004
     11/01/1977        495.512          0.001
     12/01/1977        493.576          0.861
     13/01/1977        493.322          0.206
     14/01/1977        493.256          0.040
     15/01/1977        493.234          0.001
     16/01/1977        500.965          0.000
     17/01/1977        498.389          1.154
     18/01/1977        496.882          0.528
     19/01/1977        495.648          1.045
     20/01/1977        494.683          0.903
     21/01/1977        493.821          0.828
     22/01/1977        493.427          0.370
     23/01/1977        493.302          0.104
     24/01/1977        493.272          0.027
     25/01/1977        493.226          0.010
     26/01/1977        493.203          0.004
     27/01/1977        493.184          0.001
     28/01/1977        497.775          0.000
     29/01/1977        495.289          0.866
     30/01/1977        494.466          0.485
     31/01/1977        493.552          0.873
     01/02/1977        493.339          0.188
     02/02/1977        493.271          0.046
     03/02/1977        493.949          0.006
     04/02/1977        493.245          0.006
     05/02/1977        493.219          0.000
     06/02/1977        493.200          0.000
     07/02/1977        493.182          0.000
     08/02/1977        493.165          0.000
     09/02/1977        493.148          0.000
     10/02/1977        493.132          0.000
     11/02/1977        493.116          0.000
     12/02/1977        493.101          0.000
     13/02/1977        493.086          0.000
     14/02/1977        493.072          0.000
     15/02/1977        493.058          0.000
     16/02/1977        493.045          0.000
     17/02/1977        493.032          0.000
     18/02/1977        493.019          0.000
     19/02/1977        493.007          0.000
     20/02/1977        496.052          0.000
     21/02/1977        503.419          0.917
     22/02/1977        506.458          0.401
     23/02/1977        503.915          0.423
     24/02/1977        501.710          0.412
     25/02/1977        500.209          0.895
     26/02/1977        498.920          0.985
     27/02/1977        497.786          0.969
     28/02/1977        496.687          0.954
     01/03/1977        496.185          0.438
     02/03/1977        495.403          0.724
     03/03/1977        494.695          0.677
     04/03/1977        494.747          0.310
     05/03/1977        493.755          0.636
     06/03/1977        493.431          0.255
     07/03/1977        493.325          0.084
     08/03/1977        493.304          0.029
     09/03/1977        493.950          0.010
     10/03/1977        508.561          0.492
     11/03/1977        519.404          0.404
     12/03/1977        517.627          0.280
     13/03/1977        513.941          0.290
     14/03/1977        511.831          0.732
     15/03/1977        510.381          0.732
     16/03/1977        510.032          0.738
     17/03/1977        508.482          0.622
     18/03/1977        507.551          0.715
     19/03/1977        506.658          0.733
     20/03/1977        505.844          0.681
     21/03/1977        505.023          0.710
     22/03/1977        504.213          0.715
     23/03/1977        503.426          0.704
     24/03/1977        502.629          0.723
     25/03/1977        501.852          0.712
     26/03/1977        501.093          0.700
     27/03/1977        502.237          0.768
     28/03/1977        502.557          0.736
     29/03/1977        501.452          0.309
     30/03/1977        500.579          0.698
     31/03/1977        503.269          0.787
     01/04/1977        502.452          0.785
     02/04/1977        501.240          0.615
     03/04/1977        500.385          0.666
     04/04/1977        500.463          0.712
     05/04/1977        500.089          0.638
     06/04/1977        499.361          0.202
     07/04/1977        498.996          0.229
     08/04/1977        501.983          0.444
     09/04/1977        500.594          0.384
     10/04/1977        499.745          0.608
     11/04/1977        499.103          0.550
     12/04/1977        498.502          0.528
     13/04/1977        501.993          0.677
     14/04/1977        499.560          0.639
     15/04/1977        498.746          0.723
     16/04/1977        502.541          0.308
     17/04/1977        500.090          0.495
     18/04/1977        499.068          0.604
     19/04/1977        498.451          0.499
     20/04/1977        497.706          0.684
     21/04/1977        497.079          0.579
     22/04/1977        505.216          0.525
     23/04/1977        501.981          0.520
     24/04/1977        500.326          0.574
     25/04/1977        499.297          0.632
     26/04/1977        498.591          0.560
     27/04/1977        497.961          0.534
     28/04/1977        497.284          0.617
     29/04/1977        496.730          0.508
     30/04/1977        496.084          0.609
     01/05/1977        495.484          0.569
     02/05/1977        495.040          0.417
     03/05/1977        494.631          0.383
     04/05/1977        494.226          0.384
     05/05/1977        494.084          0.121
     06/05/1977        494.021          0.043
     07/05/1977        493.987          0.015
     08/05/1977        493.965          0.005
     09/05/1977        493.946          0.002
     10/05/1977        504.465          0.018
     11/05/1977        507.774          0.288
     12/05/1977        506.922          0.140
     13/05/1977        504.386          0.138
     14/05/1977        507.314          0.494
     15/05/1977        517.001          0.179
     16/05/1977        518.291          0.213
     17/05/1977        519.069          0.270
     18/05/1977        517.791          0.196
     19/05/1977        515.077          0.553
     20/05/1977        512.937          0.420
     21/05/1977        511.772          0.404
     22/05/1977        510.902          0.485
     23/05/1977        510.280          0.349
     24/05/1977        509.734          0.331
     25/05/1977        509.093          0.474
     26/05/1977        508.521          0.433
     27/05/1977        508.037          0.362
     28/05/1977        515.687          0.481
     29/05/1977        513.407          0.369
     30/05/1977        512.456          0.372
     31/05/1977        511.239          0.113
     01/06/1977        510.564          0.257
     02/06/1977        510.012          0.109
     03/06/1977        509.557          0.238
     04/06/1977        509.242          0.103
     05/06/1977        509.140          0.164
     06/06/1977        509.657          0.390
     07/06/1977        509.179          0.115
     08/06/1977        508.445          0.247
     09/06/1977        507.992          0.112
     10/06/1977        507.587          0.262
     11/06/1977        507.232          0.240
     12/06/1977        506.812          0.326
     13/06/1977        506.486          0.250
     14/06/1977        506.286          0.128
     15/06/1977        506.102          0.107
     16/06/1977        505.837          0.199
     17/06/1977        505.522          0.253
     18/06/1977        505.120          0.461
     19/06/1977        504.538          0.458
     20/06/1977        504.371          0.103
     21/06/1977        504.212          0.107
     22/06/1977        504.018          0.152
     23/06/1977        505.621          0.113
     24/06/1977        510.883          0.452
     25/06/1977        509.549          0.148
     26/06/1977        507.540          0.230
     27/06/1977        506.421          0.377
     28/06/1977        505.836          0.223
     29/06/1977        505.367          0.213
     30/06/1977        504.833          0.359
     01/07/1977        504.388          0.304
     02/07/1977        503.869          0.408
     03/07/1977        503.445          0.327
     04/07/1977        502.939          0.425
     05/07/1977        502.538          0.330
     06/07/1977        502.190          0.285
     07/07/1977        501.905          0.272
     08/07/1977        501.436          0.378
     09/07/1977        500.977          0.416
     10/07/1977        500.811          0.115
     11/07/1977        500.300          0.470
     12/07/1977        499.843          0.419
     13/07/1977        499.450          0.358
     14/07/1977        498.974          0.444
     15/07/1977        498.658          0.287
     16/07/1977        498.447          0.180
     17/07/1977        498.008          0.412
     18/07/1977        497.689          0.292
     19/07/1977        497.221          0.444
     20/07/1977        496.825          0.372
     21/07/1977        496.408          0.395
     22/07/1977        496.099          0.287
     23/07/1977        495.799          0.279
     24/07/1977        495.380          0.400
     25/07/1977        494.963          0.398
     26/07/1977        494.854          0.091
     27/07/1977        494.809          0.027
     28/07/1977        494.783          0.010
     29/07/1977        494.764          0.003
     30/07/1977        494.747          0.001
     31/07/1977        494.733          0.000
     01/08/1977        494.718          0.000
     02/08/1977        494.703          0.000
     03/08/1977        494.689          0.000
     04/08/1977        494.676          0.000
     05/08/1977        494.663          0.000
     06/08/1977        494.651          0.000
     07/08/1977        494.638          0.000
     08/08/1977        494.627          0.000
     09/08/1977        494.615          0.000
     10/08/1977        494.603          0.000
     11/08/1977        494.593          0.000
     12/08/1977        494.805          0.000
     13/08/1977        497.908          0.516
     14/08/1977        496.811          0.328
     15/08/1977        496.234          0.356
     16/08/1977        495.717          0.443
     17/08/1977        495.199          0.483
     18/08/1977        494.978          0.197
     19/08/1977        494.904          0.053
     20/08/1977        494.870          0.014
     21/08/1977        494.845          0.005
     22/08/1977        494.825          0.002
     23/08/1977        494.807          0.000
     24/08/1977        494.789          0.000
     25/08/1977        494.773          0.000
     26/08/1977        494.757          0.000
     27/08/1977        494.741          0.000
     28/08/1977        494.726          0.000
     29/08/1977        494.712          0.000
     30/08/1977        494.698          0.000
     31/08/1977        494.684          0.000
     01/09/1977        494.671          0.000
     02/09/1977        494.658          0.000
     03/09/1977        494.645          0.000
     04/09/1977        494.633          0.000
     05/09/1977        494.621          0.000
     06/09/1977        494.610          0.000
     07/09/1977        496.686          0.137
     08/09/1977        495.225          0.503
     09/09/1977        494.911          0.151
     10/09/1977        494.874          0.015
     11/09/1977        494.854          0.000
     12/09/1977        494.834          0.000
     13/09/1977        494.815          0.000
     14/09/1977        494.797          0.000
     15/09/1977        494.780          0.000
     16/09/1977        494.764          0.000
     17/09/1977        494.747          0.000
     18/09/1977        494.732          0.000
     19/09/1977        494.782          0.000
     20/09/1977        494.714          0.000
     21/09/1977        494.691          0.000
     22/09/1977        494.677          0.000
     23/09/1977        494.664          0.000
     24/09/1977        494.651          0.000
     25/09/1977        494.638          0.000
     26/09/1977        494.626          0.000
     27/09/1977        494.614          0.000
     28/09/1977        494.602          0.000
     29/09/1977        494.591          0.000
     30/09/1977        494.580          0.000
     01/10/1977        494.569          0.000
     02/10/1977        494.558          0.000
     03/10/1977        494.548          0.000
     04/10/1977        494.538          0.000
     05/10/1977        494.601          0.000
     06/10/1977        494.521          0.000
     07/10/1977        494.510          0.000
     08/10/1977        494.501          0.000
     09/10/1977        494.492          0.000
     10/10/1977        494.483          0.000
     11/10/1977        494.474          0.000
     12/10/1977        494.465          0.000
     13/10/1977        494.457          0.000
     14/10/1977        494.448          0.000
     15/10/1977        494.440          0.000
     16/10/1977        494.432          0.000
     17/10/1977        494.424          0.000
     18/10/1977        494.416          0.000
     19/10/1977        494.482          0.092
     20/10/1977        494.438          0.000
     21/10/1977        494.427          0.000
     22/10/1977        494.419          0.000
     23/10/1977        500.524          0.000
     24/10/1977        498.054          0.713
     25/10/1977        496.934          0.370
     26/10/1977        496.050          0.775
     27/10/1977        495.298          0.711
     28/10/1977        495.004          0.270
     29/10/1977        494.907          0.075
     30/10/1977        494.868          0.019
     31/10/1977        494.841          0.007
     01/11/1977        494.820          0.002
     02/11/1977        494.801          0.001
     03/11/1977        500.895          0.000
     04/11/1977        498.734          0.956
     05/11/1977        497.251          0.470
     06/11/1977        496.546          0.528
     07/11/1977        505.408          0.683
     08/11/1977        502.502          0.471
     09/11/1977        500.478          0.473
     10/11/1977        499.017          1.012
     11/11/1977        497.966          0.874
     12/11/1977        496.910          0.971
     13/11/1977        500.806          0.769
     14/11/1977        503.190          0.916
     15/11/1977        502.184          0.476
     16/11/1977        500.205          0.477
     17/11/1977        504.898          0.773
     18/11/1977        502.204          0.909
     19/11/1977        500.209          0.478
     20/11/1977        507.180          0.867
     21/11/1977        508.770          0.928
     22/11/1977        505.869          0.466
     23/11/1977        503.632          0.473
     24/11/1977        502.183          0.767
     25/11/1977        501.034          0.812
     26/11/1977        499.774          1.025
     27/11/1977        498.708          0.954
     28/11/1977        497.846          0.798
     29/11/1977        497.058          0.747
     30/11/1977        496.198          0.829
     01/12/1977        495.323          0.852
     02/12/1977        499.045          1.110
     03/12/1977        497.548          0.468
     04/12/1977        496.829          0.499
     05/12/1977        495.736          1.038
     06/12/1977        495.172          0.539
     07/12/1977        494.987          0.163
     08/12/1977        494.920          0.046
     09/12/1977        494.884          0.016
     10/12/1977        494.859          0.006
     11/12/1977        494.839          0.002
     12/12/1977        494.821          0.000
     13/12/1977        494.804          0.000
     14/12/1977        494.788          0.000
     15/12/1977        494.772          0.000
     16/12/1977        494.757          0.000
     17/12/1977        494.742          0.000
     18/12/1977        495.506          0.236
     19/12/1977        494.961          0.084
     20/12/1977        494.903          0.014
     21/12/1977        494.882          0.000
     22/12/1977        494.862          0.000
     23/12/1977        494.844          0.000
     24/12/1977        494.826          0.000
     25/12/1977        494.808          0.000
     26/12/1977        494.792          0.000
     27/12/1977        494.776          0.000
     28/12/1977        494.760          0.000
     29/12/1977        494.745          0.000
     30/12/1977        494.731          0.000
     31/12/1977        494.717          0.000
     01/01/1978        494.703          0.000
     02/01/1978        494.690          0.000
     03/01/1978        494.677          0.000
     04/01/1978        500.208          0.047
     05/01/1978        501.703          0.943
     06/01/1978        505.694          0.482
     07/01/1978        502.426          0.521
     08/01/1978        500.417          0.536
     09/01/1978        498.926          1.100
     10/01/1978        497.672          1.117
     11/01/1978        497.055          0.522
     12/01/1978        495.859          1.156
     13/01/1978        495.201          0.633
     14/01/1978        494.996          0.183
     15/01/1978        494.926          0.050
     16/01/1978        496.918          0.987
     17/01/1978        496.060          0.512
     18/01/1978        495.485          0.500
     19/01/1978        495.014          0.441
     20/01/1978        500.183          0.433
     21/01/1978        497.506          1.044
     22/01/1978        496.607          0.488
     23/01/1978        495.691          0.862
     24/01/1978        495.141          0.523
     25/01/1978        498.583          0.243
     26/01/1978        496.319          0.915
     27/01/1978        499.775          1.031
     28/01/1978        501.497          0.852
     29/01/1978        505.655          0.476
     30/01/1978        503.784          0.956
     31/01/1978        512.948          0.992
     01/02/1978        512.470          0.498
     02/02/1978        510.135          0.461
     03/02/1978        508.324          0.460
     04/02/1978        506.510          0.359
     05/02/1978        505.174          0.942
     06/02/1978        504.017          0.905
     07/02/1978        503.305          0.519
     08/02/1978        502.297          0.856
     09/02/1978        501.111          1.082
     10/02/1978        504.196          1.114
     11/02/1978        505.253          1.011
     12/02/1978        502.635          0.468
     13/02/1978        501.487          0.499
     14/02/1978        501.009          0.410
     15/02/1978        499.864          0.933
     16/02/1978        502.773          1.010
     17/02/1978        500.304          0.936
     18/02/1978        499.533          0.443
     19/02/1978        498.531          0.924
     20/02/1978        497.559          0.929
     21/02/1978        496.603          0.923
     22/02/1978        496.008          0.916
     23/02/1978        495.329          0.383
     24/02/1978        495.111          0.139
     25/02/1978        495.037          0.049
     26/02/1978        496.106          0.016
     27/02/1978        495.134          0.104
     28/02/1978        495.045          0.027
     01/03/1978        495.022          0.001
     02/03/1978        495.002          0.000
     03/03/1978        494.984          0.000
     04/03/1978        494.966          0.000
     05/03/1978        494.948          0.000
     06/03/1978        494.931          0.000
     07/03/1978        494.915          0.000
     08/03/1978        494.899          0.000
     09/03/1978        494.884          0.000
     10/03/1978        496.530          0.268
     11/03/1978        495.492          0.687
     12/03/1978        495.110          0.203
     13/03/1978        495.048          0.038
     14/03/1978        495.027          0.000
     15/03/1978        499.932          0.164
     16/03/1978        502.927          0.753
     17/03/1978        511.949          0.364
     18/03/1978        513.950          0.233
     19/03/1978        513.482          0.256
     20/03/1978        515.733          0.420
     21/03/1978        514.717          0.269
     22/03/1978        512.051          0.222
     23/03/1978        510.943          0.666
     24/03/1978        509.414          0.297
     25/03/1978        511.293          0.641
     26/03/1978        511.849          0.695
     27/03/1978        509.549          0.532
     28/03/1978        514.299          0.605
     29/03/1978        512.267          0.315
     30/03/1978        509.973          0.333
     31/03/1978        520.493          0.694
     01/04/1978        531.162          0.237
     02/04/1978        542.197          0.180
     03/04/1978        540.469          0.215
     04/04/1978        536.928          0.293
     05/04/1978        533.638          0.630
     06/04/1978        531.397          0.701
     07/04/1978        530.063          0.592
     08/04/1978        531.826          0.632
     09/04/1978        528.683          0.597
     10/04/1978        527.007          0.594
     11/04/1978        530.703          0.551
     12/04/1978        532.798          0.610
     13/04/1978        529.237          0.275
     14/04/1978        527.129          0.685
     15/04/1978        525.758          0.664
     16/04/1978        524.619          0.672
     17/04/1978        523.652          0.615
     18/04/1978        522.771          0.600
     19/04/1978        522.095          0.429
     20/04/1978        521.341          0.542
     21/04/1978        520.556          0.601
     22/04/1978        519.798          0.596
     23/04/1978        519.098          0.553
     24/04/1978        518.280          0.689
     25/04/1978        517.513          0.650
     26/04/1978        516.762          0.647
     27/04/1978        516.023          0.645
     28/04/1978        515.389          0.548
     29/04/1978        514.730          0.580
     30/04/1978        514.061          0.597
     01/05/1978        513.390          0.606
     02/05/1978        512.732          0.598
     03/05/1978        512.103          0.574
     04/05/1978        511.643          0.408
     05/05/1978        511.026          0.571
     06/05/1978        510.691          0.289
     07/05/1978        510.227          0.423
     08/05/1978        509.945          0.510
     09/05/1978        509.541          0.421
     10/05/1978        517.566          0.149
     11/05/1978        516.765          0.159
     12/05/1978        515.364          0.156
     13/05/1978        513.903          0.242
     14/05/1978        512.929          0.252
     15/05/1978        512.152          0.399
     16/05/1978        511.699          0.209
     17/05/1978        511.282          0.235
     18/05/1978        521.390          0.315
