Summary_file = singlecrop_sample.sum
Title = Tracker Sample Single Crop Simulation
            day           year accumulated_rain            lai        max_lai          yield    wheat_yield             ep accumulated_wheat_ep    swdef_photo wheat_weekly_stress
          (day)         (year)             (mm)      (m^2/m^2)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)                 (mm)             ()                  ()
            338           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            339           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            340           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            341           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            342           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            343           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            344           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            345           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            346           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            347           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            348           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            349           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            350           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            351           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            352           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            353           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            354           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            355           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            356           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            357           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            358           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            359           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            360           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            361           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            362           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            363           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            364           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
            365           1989          211.100          0.000          7.922          0.000       5090.292          0.000              302.943          1.000               0.852
