Summary_file = lysS113.sum
Title = south lysimeter
year,month,day,day_month,period,sw(1),sw(2),sw(3),sw(4),sw(5),sw(6),sw(7),sw(8),sw(9),sw(10),sw(11),sw(12),sw(13),sw(14),sw(15),sw(16),sw(17),sw(18),no3(1),no3(2),no3(3),no3(4),no3(5),no3(6),no3(7),no3(8),no3(9),no3(10),no3(11),no3(12),no3(13),no3(14),no3(15),nh4(1),nh4(2),nh4(3),nh4(4),nh4(5),nh4(6),nh4(7),nh4(8),nh4(9),nh4(10),nh4(11),nh4(12),nh4(13),nh4(14),nh4(15),no3_025,no3_2590,nh4_025,nh4_2590,sw_dep_025,sw_dep_2590,sw_dep_90180,no3_030,no3_3080,nh4_030,nh4_3080,sw_dep_030,sw_dep_3080,rain,T,ET,swdep(1),swdep(2),swdep(3),swdep(4),swdep(5),swdep(6),swdep(7),swdep(8),swdep(9),swdep(10),swdep(11),swdep(12),swdep(13),swdep(14),swdep(15),swdep(16),swdep(17),swdep(18),es,runoff,drain,eo,h,drain_25,drain_90,drain_180,cum_rain,cum_ET,cum_E,cum_T,cdrain_25,cdrain_90,cdrain180,cum_drain,no3(),nh4(),nit_tot(),leach_no3,cleach_25,cleach_90,urea(),biom_n(),fom_n(),hum_n(),sum@soiln2.dnit[],sum@soiln2.dlt_n_min[],residue_n,residue_wt,residue_cover,L_dlt_n_fixed,P_dlt_n_fixed,W_biomass_n,W_root_n,L_biomass_n,L_root_n,C_biomass_n,C_root_n,P_biomass_n,P_root_n,cum_nmin010,cum_nmin1020,cum_nmin2030,no3_010,nh4_010,fom_n_010,biom_n_010,hum_n_010,no3_sol_20,no3_sol_30,no3_sol_50,no3_sol_90,cumnetdrain120
1993,11,329,25,     2.000,     0.235,     0.236,     0.239,     0.247,     0.251,     0.247,     0.217,     0.221,     0.230,     0.255,     0.277,     0.303,     0.329,     0.342,     0.346,     0.350,     0.353,     0.356,     0.064,     0.098,     0.144,     0.193,     0.175,     0.097,     0.101,     0.097,     0.108,     0.091,     0.054,     0.026,     0.825,     0.911,     0.644,     0.056,     0.099,     0.162,     0.263,     0.687,     0.155,     0.084,     0.051,     0.059,     0.051,     0.031,     0.014,     0.002,     0.001,     0.001,     0.771,     0.424,     1.422,     0.260,    61.734,   130.742,   292.855,     0.822,     0.347,     1.464,     0.203,    72.603,   118.557,     0.000,     1.710,     4.481,     1.176,     2.364,     4.778,     9.866,    18.851,    24.699,    21.737,    22.070,    34.548,    51.070,    55.376,    60.647,    65.816,    51.357,    34.580,    26.240,    17.630,     8.897,     3.014,     0.000,     0.000,    11.743,     0.000,     0.145,    -0.030,     0.000,   427.000,   368.591,   186.879,   181.712,   153.276,    84.816,    65.653,    65.653,     4.596,     1.720,  4657.439,     0.000,    16.064,     1.449,     0.000,   120.346,     1.497,  4529.280,     0.010,     0.664,     0.096,    15.396,     0.007,     0.000,     0.000,     7.691,     2.602,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    17.049,     3.720,     2.435,     0.557,     0.809,     0.307,    66.275,  1161.095,     1.953,     0.926,     0.465,     0.311,    73.045
1993,12,342,8,     2.000,     0.062,     0.086,     0.178,     0.207,     0.226,     0.238,     0.219,     0.221,     0.230,     0.256,     0.279,     0.307,     0.327,     0.341,     0.344,     0.348,     0.350,     0.353,     0.073,     0.151,     0.511,     0.664,     0.479,     0.213,     0.173,     0.153,     0.165,     0.135,     0.077,     0.037,     0.821,     0.894,     0.626,     0.049,     0.072,     0.133,     0.289,     0.908,     0.185,     0.100,     0.050,     0.054,     0.047,     0.029,     0.013,     0.002,     0.001,     0.001,     2.091,     0.664,     1.636,     0.266,    53.734,   130.201,   292.588,     2.178,     0.539,     1.686,     0.201,    64.672,   118.687,     0.200,     0.758,    10.071,     0.311,     0.862,     3.562,     8.272,    16.919,    23.808,    21.876,    22.077,    34.541,    51.131,    55.798,    61.305,    65.444,    51.154,    34.406,    26.073,    17.493,     8.814,     7.934,     0.000,     0.000,    81.570,     0.000,     0.172,    -0.254,     0.000,   427.200,   376.649,   194.814,   181.835,   153.423,    84.554,    65.653,    65.653,     6.107,     1.934,  4653.625,     0.000,    16.064,     1.449,     0.000,   116.661,     1.360,  4527.562,     0.063,     5.574,     0.085,    13.630,     0.007,     0.000,     0.000,     7.943,     2.655,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    20.061,     4.421,     2.875,     1.559,     0.846,     0.276,    64.210,  1160.206,     8.022,     2.833,     0.789,     0.477,    71.907
1993,12,343,9,     3.000,     0.061,     0.081,     0.175,     0.206,     0.225,     0.238,     0.219,     0.221,     0.230,     0.256,     0.279,     0.307,     0.327,     0.341,     0.344,     0.347,     0.350,     0.352,     0.078,     0.152,     0.558,     0.765,     0.571,     0.253,     0.198,     0.170,     0.182,     0.148,     0.085,     0.041,     0.821,     0.893,     0.625,     0.050,     0.072,     0.126,     0.286,     0.909,     0.183,     0.099,     0.050,     0.054,     0.047,     0.029,     0.013,     0.002,     0.001,     0.001,     2.377,     0.740,     1.626,     0.264,    53.473,   130.191,   292.562,     2.476,     0.599,     1.676,     0.200,    64.413,   118.695,     0.000,     0.000,     0.281,     0.307,     0.805,     3.502,     8.222,    16.864,    23.773,    21.881,    22.077,    34.541,    51.136,    55.837,    61.335,    65.421,    51.142,    34.394,    26.061,    17.483,     8.808,     0.257,     0.000,     0.000,     7.119,     0.000,     0.006,    -0.024,     0.000,     0.000,     0.257,     0.257,     0.000,     0.006,    -0.024,     0.000,     0.000,     6.473,     1.923,  4653.620,     0.000,     0.000,     0.000,     0.000,   116.428,     1.351,  4527.446,     0.004,     0.359,     0.085,    13.630,     0.007,     0.000,     0.000,     7.943,     2.650,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    20.240,     4.470,     2.906,     1.743,     0.837,     0.275,    64.090,  1160.150,     9.300,     3.386,     0.907,     0.526,    -0.075
1993,12,344,10,     3.000,     0.063,     0.081,     0.173,     0.204,     0.224,     0.237,     0.219,     0.221,     0.230,     0.256,     0.279,     0.307,     0.327,     0.341,     0.344,     0.347,     0.349,     0.352,     0.082,     0.158,     0.593,     0.842,     0.655,     0.278,     0.207,     0.166,     0.169,     0.121,     0.067,     0.042,     0.821,     0.892,     0.624,     0.050,     0.072,     0.099,     0.225,     0.822,     0.107,     0.034,     0.000,     0.000,     0.000,     0.000,     0.000,     0.002,     0.001,     0.001,     2.608,     0.697,     1.375,     0.034,    53.309,   130.181,   292.538,     2.711,     0.559,     1.392,     0.017,    64.252,   118.704,     0.000,     0.000,     0.257,     0.316,     0.814,     3.456,     8.173,    16.811,    23.739,    21.886,    22.078,    34.540,    51.143,    55.876,    61.363,    65.399,    51.131,    34.382,    26.049,    17.474,     8.802,     0.156,     0.000,     0.000,     7.647,     0.000,     0.006,    -0.024,     0.000,     0.000,     0.413,     0.413,     0.000,     0.012,    -0.050,     0.000,     0.000,     6.648,     1.414,  4685.587,     0.000,     0.000,     0.000,     0.000,   117.971,    32.118,  4527.436,     0.004,    -0.329,    30.987,  7747.175,     0.979,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    20.278,     4.442,     2.852,     1.893,     0.720,     5.633,    64.342,  1160.113,    10.307,     3.893,     0.948,     0.490,    -0.146
1993,12,359,25,     3.000,     0.089,     0.192,     0.217,     0.235,     0.246,     0.243,     0.220,     0.221,     0.230,     0.256,     0.282,     0.308,     0.326,     0.340,     0.342,     0.345,     0.347,     0.349,     0.140,     0.529,     0.886,     1.394,     1.920,     0.334,     0.026,     0.017,     0.018,     0.014,     0.008,     0.004,     0.818,     0.877,     0.608,     0.000,     0.055,     0.107,     0.195,     0.553,     0.016,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.002,     0.001,     0.001,     5.203,     0.079,     0.926,     0.000,    58.900,   131.143,   292.120,     5.216,     0.062,     0.926,     0.000,    69.896,   118.886,    35.600,     0.000,    28.405,     0.443,     1.923,     4.348,     9.413,    18.484,    24.289,    21.992,    22.088,    34.536,    51.266,    56.477,    61.568,    65.158,    50.964,    34.222,    25.893,    17.350,     8.726,    29.892,     0.000,     0.000,    80.056,     0.000,     0.110,    -0.413,     0.000,    35.600,    30.305,    30.305,     0.000,     0.129,    -0.468,     0.000,     0.000,     8.496,     0.930,  4685.623,     0.000,     0.013,     0.000,     0.000,   126.269,    23.579,  4526.350,     0.056,     1.765,     1.458,   364.500,     0.167,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    22.560,     4.551,     2.646,     3.589,     0.541,     3.185,    65.652,  1159.335,    14.805,    10.388,     0.120,     0.052,    -1.070
1994,1,9,9,     3.000,     0.063,     0.099,     0.183,     0.210,     0.228,     0.241,     0.224,     0.221,     0.230,     0.257,     0.285,     0.308,     0.325,     0.339,     0.341,     0.344,     0.345,     0.347,     0.265,     0.625,     1.698,     2.194,     2.549,     0.698,     0.092,     0.020,     0.020,     0.016,     0.009,     0.004,     0.817,     0.864,     0.596,     0.036,     0.055,     0.118,     0.230,     0.643,     0.080,     0.028,     0.000,     0.000,     0.000,     0.000,     0.000,     0.002,     0.001,     0.001,     8.029,     0.153,     1.162,     0.028,    54.620,   131.667,   291.661,     8.075,     0.102,     1.176,     0.014,    65.821,   119.304,    17.700,     0.000,    22.827,     0.317,     0.986,     3.668,     8.400,    17.133,    24.116,    22.403,    22.105,    34.539,    51.459,    57.008,    61.579,    64.981,    50.789,    34.103,    25.774,    17.259,     8.672,    21.547,     0.000,     0.000,    84.128,     0.000,     0.436,    -0.456,     0.000,    53.300,    51.852,    51.852,     0.000,     0.561,    -0.926,     0.000,     0.000,    11.343,     1.195,  4685.598,     0.000,     0.045,     0.000,     0.000,   128.592,    19.290,  4525.176,     0.052,     3.266,     1.431,   357.845,     0.164,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    24.939,     4.967,     2.777,     5.632,     0.653,     2.268,    65.038,  1158.595,    26.113,    14.879,     0.411,     0.059,    -1.803
1994,1,21,21,     3.000,     0.058,     0.068,     0.148,     0.196,     0.221,     0.237,     0.225,     0.221,     0.230,     0.258,     0.287,     0.308,     0.324,     0.338,     0.340,     0.343,     0.344,     0.345,     0.366,     0.616,     2.063,     3.377,     3.446,     1.111,     0.284,     0.045,     0.028,     0.023,     0.012,     0.006,     0.817,     0.855,     0.587,     0.040,     0.057,     0.079,     0.296,     0.891,     0.162,     0.072,     0.010,     0.000,     0.000,     0.000,     0.000,     0.002,     0.001,     0.001,    10.979,     0.386,     1.525,     0.082,    52.032,   131.477,   291.283,    11.121,     0.238,     1.561,     0.046,    63.258,   119.563,     3.050,     0.000,     5.729,     0.292,     0.682,     2.965,     7.857,    16.555,    23.681,    22.453,    22.123,    34.549,    51.665,    57.341,    61.540,    64.855,    50.673,    34.025,    25.689,    17.195,     8.635,     5.570,     0.000,     0.000,    74.790,     0.000,     0.074,    -0.379,     0.000,    56.350,    57.421,    57.421,     0.000,     0.630,    -1.305,     0.000,     0.000,    14.497,     1.612,  4685.564,     0.000,     0.078,     0.000,     0.000,   129.800,    15.725,  4523.932,     0.032,     3.602,     1.431,   357.845,     0.164,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    27.102,     5.560,     3.083,     7.571,     0.769,     1.753,    64.116,  1157.869,    42.980,    20.819,     1.267,     0.080,    -2.312
1994,2,36,5,     3.000,     0.291,     0.291,     0.292,     0.294,     0.285,     0.266,     0.249,     0.222,     0.231,     0.260,     0.288,     0.307,     0.324,     0.337,     0.339,     0.341,     0.343,     0.344,     0.455,     0.711,     1.209,     2.886,     6.382,     3.592,     1.050,     0.237,     0.079,     0.033,     0.017,     0.027,     0.818,     0.846,     0.577,     0.025,     0.079,     0.148,     0.368,     1.105,     0.301,     0.141,     0.048,     0.017,     0.000,     0.000,     0.004,     0.002,     0.001,     0.001,    15.235,     1.407,     2.026,     0.206,    69.909,   137.033,   290.799,    15.760,     0.874,     2.096,     0.135,    82.338,   121.163,    48.200,     0.000,    22.125,     1.453,     2.913,     5.838,    11.755,    21.354,    26.596,    24.857,    22.184,    34.576,    51.975,    57.640,    61.474,    64.716,    50.541,    33.921,    25.601,    17.128,     8.598,    27.857,     0.000,     0.000,   106.524,     0.000,     1.488,    -0.483,     0.000,   104.550,    85.277,    85.277,     0.000,     3.099,    -1.789,     0.000,     0.000,    19.763,     2.240,  4685.457,     0.000,     0.443,     0.000,     0.000,   130.086,    11.363,  4522.005,     0.172,     6.306,     1.368,   341.997,     0.157,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    30.646,     6.540,     3.706,     7.388,     0.988,     1.241,    62.438,  1156.768,    24.551,    29.885,     4.225,     0.228,    -2.880
1994,2,51,20,     3.000,     0.073,     0.177,     0.209,     0.229,     0.243,     0.252,     0.262,     0.287,     0.292,     0.318,     0.324,     0.326,     0.332,     0.338,     0.339,     0.341,     0.342,     0.343,     0.139,     0.565,     0.986,     1.395,     3.064,     5.349,     4.609,     3.304,     2.169,     0.759,     0.092,     0.078,     0.819,     0.843,     0.570,     0.047,     0.077,     0.137,     0.241,     0.785,     0.262,     0.121,     0.055,     0.041,     0.000,     0.000,     0.007,     0.002,     0.001,     0.001,    11.498,    10.887,     1.549,     0.217,    58.914,   156.253,   299.829,    13.802,     8.536,     1.610,     0.156,    71.995,   149.109,    78.270,     0.000,    53.011,     0.367,     1.771,     4.188,     9.152,    18.211,    25.225,    26.163,    28.718,    43.783,    63.526,    64.728,    65.234,    66.480,    50.698,    33.870,    25.538,    17.077,     8.568,    47.912,     0.000,     0.000,    78.647,     0.000,    42.194,     8.488,     0.000,   182.820,   133.189,   133.189,     0.000,    44.272,     7.242,     0.000,     0.000,    25.571,     1.778,  4684.962,     0.000,     9.055,     0.061,     0.000,   129.039,     8.350,  4520.224,     0.558,     6.270,     1.279,   319.680,     0.148,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    34.368,     7.346,     4.266,     4.106,     0.764,     0.911,    60.495,  1155.680,    15.246,    16.827,    17.617,     4.954,    -0.973
1994,3,66,7,     3.000,     0.067,     0.140,     0.196,     0.218,     0.235,     0.247,     0.253,     0.280,     0.290,     0.313,     0.320,     0.323,     0.335,     0.345,     0.347,     0.350,     0.353,     0.356,     0.258,     0.856,     1.723,     2.213,     3.500,     4.596,     3.851,     3.032,     2.443,     0.872,     0.112,     0.118,     0.767,     0.828,     0.570,     0.041,     0.055,     0.136,     0.239,     0.849,     0.199,     0.115,     0.060,     0.060,     0.022,     0.004,     0.010,     0.001,     0.001,     0.001,    13.146,    10.254,     1.519,     0.259,    56.670,   153.407,   302.869,    15.072,     8.273,     1.576,     0.199,    69.300,   146.697,    17.130,     0.000,    18.641,     0.336,     1.405,     3.918,     8.738,    17.596,    24.677,    25.261,    27.997,    43.430,    62.640,    64.084,    64.597,    66.963,    51.752,    34.682,    26.274,    17.652,     8.907,    18.289,     0.000,     0.000,    79.622,     0.000,    -0.092,     3.433,     0.000,   199.950,   151.477,   151.477,     0.000,    44.208,    10.286,     0.000,     0.000,    26.575,     1.795,  4680.204,     0.000,     9.100,     0.082,     0.000,   127.041,     6.298,  4518.494,     0.158,     5.909,     1.252,   313.138,     0.145,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    37.481,     8.126,     4.825,     6.217,     0.754,     0.733,    58.677,  1154.671,    25.328,    19.893,    15.244,     5.624,     4.256
1994,3,81,22,     3.000,     0.067,     0.134,     0.193,     0.216,     0.233,     0.247,     0.256,     0.282,     0.291,     0.316,     0.322,     0.325,     0.338,     0.350,     0.353,     0.358,     0.360,     0.360,     0.225,     0.714,     1.449,     1.740,     2.926,     3.902,     3.432,     2.899,     2.593,     1.207,     0.279,     0.162,     0.678,     0.775,     0.552,     0.045,     0.059,     0.142,     0.237,     0.585,     0.141,     0.087,     0.065,     0.074,     0.039,     0.009,     0.011,     0.001,     0.001,     0.001,    10.956,    10.271,     1.209,     0.269,    56.345,   154.327,   306.562,    12.672,     8.415,     1.252,     0.221,    69.127,   147.745,    44.200,     0.000,    32.911,     0.334,     1.336,     3.867,     8.648,    17.450,    24.710,    25.563,    28.216,    43.599,    63.149,    64.478,    65.086,    67.587,    52.489,    35.343,    26.843,    17.975,     9.000,    32.893,     0.000,     5.852,    61.138,     0.000,    10.997,     9.472,     5.497,   244.150,   184.370,   184.370,     0.000,    55.194,    19.828,     5.851,     5.851,    24.348,     1.499,  4674.062,     0.089,    11.188,     0.185,     0.000,   125.505,     5.308,  4517.401,     0.501,     3.896,     1.195,   298.881,     0.139,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    39.445,     8.589,     5.170,     5.103,     0.678,     0.648,    57.650,  1154.050,    20.122,    16.767,    13.425,     5.947,    13.806
1994,4,96,6,     3.000,     0.080,     0.136,     0.181,     0.198,     0.220,     0.241,     0.250,     0.279,     0.289,     0.313,     0.320,     0.323,     0.336,     0.349,     0.353,     0.358,     0.359,     0.360,     0.213,     0.655,     1.450,     2.191,     2.567,     2.426,     1.987,     1.725,     1.724,     0.937,     0.242,     0.205,     0.642,     0.735,     0.523,     0.000,     0.023,     0.107,     0.222,     0.646,     0.149,     0.093,     0.066,     0.079,     0.053,     0.018,     0.013,     0.001,     0.001,     0.001,     9.502,     6.494,     1.147,     0.300,    53.852,   152.264,   305.418,    10.495,     5.379,     1.194,     0.244,    66.330,   146.227,     6.650,     0.000,     7.781,     0.401,     1.364,     3.621,     7.901,    16.476,    24.089,    24.956,    27.858,    43.354,    62.537,    64.014,    64.580,    67.280,    52.408,    35.328,    26.840,    17.975,     9.000,     8.666,     0.000,     2.853,    57.879,     0.000,    -0.202,     1.828,     3.087,   250.800,   193.038,   193.038,     0.000,    55.001,    21.542,     8.703,     8.703,    18.991,     1.476,  4664.380,     0.042,    11.199,     0.208,     0.000,   123.433,     4.394,  4516.086,     0.154,     4.423,     1.170,   292.636,     0.136,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    41.327,     9.174,     5.608,     5.365,     0.567,     0.585,    56.617,  1153.366,    27.728,    15.578,     7.961,     3.977,    17.073
1994,4,103,13,     3.000,     0.070,     0.164,     0.201,     0.217,     0.219,     0.239,     0.248,     0.278,     0.288,     0.312,     0.319,     0.322,     0.336,     0.349,     0.353,     0.358,     0.359,     0.360,     0.167,     0.621,     1.136,     2.316,     2.531,     1.989,     1.559,     1.336,     1.389,     0.806,     0.221,     0.181,     0.631,     0.720,     0.511,     0.000,     0.009,     0.022,     0.217,     0.568,     0.130,     0.089,     0.069,     0.083,     0.060,     0.022,     0.014,     0.001,     0.001,     0.001,     8.760,     5.201,     0.946,     0.312,    55.064,   151.710,   305.178,     9.540,     4.311,     0.991,     0.257,    67.475,   145.788,     6.300,     0.000,     5.682,     0.351,     1.642,     4.019,     8.676,    16.445,    23.931,    24.821,    27.768,    43.257,    62.352,    63.866,    64.481,    67.228,    52.396,    35.325,    26.840,    17.975,     9.000,     5.062,     0.000,     0.702,    21.885,     0.000,    -0.067,     0.482,     0.734,   257.100,   198.101,   198.101,     0.000,    54.935,    22.006,     9.406,     9.406,    16.866,     1.292,  4661.141,     0.010,    11.206,     0.212,     0.000,   122.849,     4.521,  4515.614,     0.059,     1.641,     2.525,   404.539,     0.173,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    42.026,     9.377,     5.761,     5.084,     0.437,     0.756,    56.429,  1153.125,    26.693,    15.393,     6.280,     3.210,    17.852
1994,4,118,28,     3.000,     0.058,     0.067,     0.130,     0.191,     0.216,     0.237,     0.247,     0.276,     0.287,     0.311,     0.318,     0.322,     0.336,     0.349,     0.353,     0.358,     0.359,     0.360,     0.290,     0.479,     1.409,     2.604,     3.326,     2.405,     1.837,     1.559,     1.688,     1.036,     0.320,     0.236,     0.611,     0.691,     0.487,     0.004,     0.013,     0.049,     0.192,     0.505,     0.123,     0.085,     0.067,     0.083,     0.066,     0.028,     0.015,     0.001,     0.001,     0.001,    10.513,     6.280,     0.886,     0.315,    51.096,   150.960,   304.865,    11.432,     5.201,     0.928,     0.259,    63.426,   145.186,     0.000,     0.000,     4.639,     0.291,     0.667,     2.599,     7.634,    16.191,    23.714,    24.660,    27.645,    43.110,    62.101,    63.663,    64.360,    67.155,    52.381,    35.323,    26.839,    17.975,     9.000,     4.094,     0.000,     0.971,    48.981,     0.000,    -0.127,     0.683,     1.010,   257.100,   202.196,   202.196,     0.000,    54.809,    22.664,    10.376,    10.376,    19.687,     1.239,  4661.156,     0.013,    11.232,     0.219,     0.000,   121.718,     3.875,  4514.637,     0.123,     3.215,     2.374,   380.471,     0.164,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    43.240,     9.784,     6.078,     5.891,     0.426,     0.671,    56.151,  1152.658,    34.116,    20.542,     7.448,     3.915,    18.731
1994,5,133,13,     3.000,     0.063,     0.093,     0.146,     0.181,     0.213,     0.236,     0.246,     0.276,     0.287,     0.310,     0.318,     0.321,     0.336,     0.349,     0.353,     0.358,     0.359,     0.360,     0.276,     0.642,     1.337,     2.948,     4.087,     2.804,     2.079,     1.750,     1.946,     1.252,     0.423,     0.287,     0.597,     0.665,     0.465,     0.023,     0.038,     0.056,     0.188,     0.412,     0.118,     0.088,     0.072,     0.090,     0.076,     0.034,     0.016,     0.001,     0.001,     0.001,    12.094,     7.239,     0.835,     0.343,    50.950,   150.473,   304.693,    13.134,     5.987,     0.879,     0.282,    63.226,   144.814,     7.500,     0.000,     7.597,     0.317,     0.931,     2.924,     7.242,    15.970,    23.566,    24.551,    27.564,    43.018,    61.956,    63.547,    64.294,    67.117,    52.373,    35.321,    26.839,    17.975,     9.000,     7.762,     0.000,     0.543,    35.363,     0.000,    -0.117,     0.384,     0.563,   264.600,   209.957,   209.957,     0.000,    54.693,    23.034,    10.919,    10.919,    22.231,     1.221,  4661.035,     0.007,    11.263,     0.227,     0.000,   120.286,     3.454,  4513.843,     0.114,     2.646,     2.374,   380.471,     0.164,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    44.085,    10.143,     6.355,     6.565,     0.442,     0.627,    55.688,  1152.322,    40.711,    25.589,     8.468,     4.525,    19.225
1994,5,137,17,     3.000,     0.058,     0.067,     0.125,     0.181,     0.212,     0.235,     0.245,     0.275,     0.287,     0.310,     0.318,     0.321,     0.336,     0.349,     0.353,     0.358,     0.359,     0.360,     0.318,     0.517,     1.420,     2.982,     4.226,     2.872,     2.114,     1.777,     1.986,     1.288,     0.442,     0.296,     0.594,     0.659,     0.460,     0.024,     0.036,     0.054,     0.190,     0.365,     0.120,     0.090,     0.073,     0.093,     0.078,     0.035,     0.017,     0.001,     0.001,     0.001,    12.335,     7.386,     0.789,     0.352,    50.153,   150.370,   304.658,    13.392,     6.108,     0.834,     0.289,    62.417,   144.739,     0.000,     0.000,     0.998,     0.291,     0.667,     2.492,     7.248,    15.922,    23.533,    24.528,    27.548,    42.999,    61.928,    63.524,    64.281,    67.109,    52.371,    35.321,    26.839,    17.975,     9.000,     0.827,     0.000,     0.102,     7.415,     0.000,    -0.028,     0.072,     0.106,   264.600,   210.784,   210.784,     0.000,    54.665,    23.102,    11.021,    11.021,    22.617,     1.186,  4661.008,     0.001,    11.275,     0.229,     0.000,   120.076,     3.397,  4513.731,     0.025,     0.378,     2.374,   380.471,     0.164,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    44.193,    10.193,     6.395,     6.646,     0.426,     0.622,    55.630,  1152.277,    41.147,    26.540,     8.619,     4.619,    19.317
1994,5,138,18,     4.000,     0.172,     0.104,     0.122,     0.181,     0.212,     0.235,     0.245,     0.275,     0.287,     0.310,     0.318,     0.321,     0.336,     0.349,     0.353,     0.358,     0.359,     0.360,     0.345,     0.510,     1.400,     2.992,     4.254,     2.888,     2.122,     1.784,     1.995,     1.296,     0.446,     0.298,     0.593,     0.657,     0.458,     0.024,     0.038,     0.052,     0.191,     0.356,     0.120,     0.091,     0.074,     0.093,     0.079,     0.036,     0.017,     0.001,     0.001,     0.001,    12.389,     7.420,     0.781,     0.355,    51.011,   150.348,   304.651,    13.450,     6.136,     0.826,     0.292,    63.272,   144.721,     1.550,     0.000,     0.181,     0.861,     1.042,     2.434,     7.238,    15.910,    23.526,    24.523,    27.544,    42.995,    61.921,    63.519,    64.278,    67.108,    52.371,    35.321,    26.839,    17.975,     9.000,     0.699,     0.000,     0.023,     1.298,     0.000,    -0.007,     0.016,     0.024,     1.550,     0.699,     0.699,     0.000,    -0.007,     0.015,     0.023,     0.023,    22.703,     1.181,  4661.001,     0.000,     0.003,     0.001,     0.000,   120.026,     3.384,  4513.707,     0.006,     0.087,     2.374,   380.471,     0.164,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,    44.219,    10.204,     6.404,     6.665,     0.424,     0.621,    55.616,  1152.267,    41.335,    26.739,     8.653,     4.640,     0.021
1994,5,145,25,     4.000,     0.057,     0.064,     0.098,     0.178,     0.211,     0.235,     0.245,     0.275,     0.286,     0.309,     0.317,     0.321,     0.335,     0.349,     0.353,     0.358,     0.359,     0.360,     0.356,     0.569,     1.298,     3.066,     4.454,     3.012,     2.186,     1.833,     2.066,     1.361,     0.481,     0.315,     0.588,     0.647,     0.450,     0.025,     0.036,     0.050,     0.190,     0.312,     0.122,     0.092,     0.075,     0.095,     0.081,     0.038,     0.017,     0.002,     0.001,     0.001,    12.755,     7.687,     0.735,     0.362,    49.340,   150.194,   304.605,    13.848,     6.353,     0.781,     0.297,    61.584,   144.611,     0.750,     0.000,     3.004,     0.287,     0.638,     1.965,     7.140,    15.834,    23.476,    24.488,    27.519,    42.968,    61.880,    63.486,    64.260,    67.098,    52.369,    35.321,    26.839,    17.975,     9.000,     2.472,     0.000,     0.142,    12.470,     0.000,    -0.049,     0.098,     0.146,     2.300,     3.170,     3.170,     0.000,    -0.056,     0.110,     0.164,     0.164,    23.332,     1.144,  4660.956,     0.002,     0.024,     0.004,     0.000,   119.668,     3.292,  4513.520,     0.044,     0.638,     2.374,   380.471,     0.164,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.000,     0.030,     0.016,     0.013,     6.774,     0.405,     0.615,    55.528,  1152.195,    42.943,    28.129,     8.926,     4.807,     0.150
